Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
anal masturbator,anal masturbator,Health & Wellness,Miscellaneous,Health & Wellness,,Health & Wellness
nets prepaid card,nets prepaid card,"Dining, Travel & Services",Travel & Luggage,Travel & Luggage,Travel & Luggage,"Dining, Travel & Services"
japanese snacks,japanese snacks,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
dyson straightener,dyson straightener,Home Appliances,Beauty & Personal Care,Home Appliances,,Home Appliances
travel iron,travel iron,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
yoyic drink,yoyic drink,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
adidas forum,adidas forum,Men's Shoes,Men's Shoes,Sports & Outdoors,,Men's Shoes
coolhaus,coolhaus,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
sl education,sl education,Others,"Toys, Kids & Babies",Hobbies & Books,,Others
chrono collection,chrono collection,Watches,Watches,,,Watches
sneaker cleaner,sneaker cleaner,Men's Shoes,Home & Living,Men's Shoes,,Men's Shoes
play dress singapore,play dress singapore,Women's Apparel,Mom & Baby,Women Clothes,Women Clothes,Women's Apparel
samsung smart tag,samsung smart tag,Mobile & Gadgets,Home & Living,Home Appliances,,Mobile & Gadgets
cooking toys,cooking toys,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
dry fruits,dry fruits,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
singapore backpack brands,singapore backpack brands,Men's Bags,,,,Men's Bags
don don donki sweet potato,don don donki sweet potato,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
visions metal cookware,visions metal cookware,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
double socket,double socket,Home & Living,Home Appliances,Home Appliances,,Home & Living
aneros,aneros,Health & Wellness,Miscellaneous,Miscellaneous,,Health & Wellness
cheeselads,cheeselads,Food & Beverages,Home & Living,Home & Living,Home & Living,Food & Beverages
google doorbell singapore,google doorbell singapore,Mobile & Gadgets,Home Appliances,Audio,Audio,Mobile & Gadgets
spike condom,spike condom,Health & Wellness,Miscellaneous,Miscellaneous,,Health & Wellness
mulled wine singapore,mulled wine singapore,Food & Beverages,,,,Food & Beverages
kosas singapore,kosas singapore,Beauty & Personal Care,Beauty & Personal Care,,,Beauty & Personal Care
motowerks,motowerks,"Dining, Travel & Services",Automotive,Automotive,,"Dining, Travel & Services"
steve & leif,steve & leif,Home & Living,Home & Living,Sports & Outdoors,,Home & Living
heelys singapore,heelys singapore,Kids Fashion,,Sports & Outdoors,,Kids Fashion
pantheon keys,pantheon keys,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
value dollar shop singapore,value dollar shop singapore,Hobbies & Books,,Fashion Accessories,,Hobbies & Books
samsung flip 5,samsung flip 5,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
sg senin,sg senin,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
robin may bag,robin may bag,Men's Bags,Women's Bags,,,Men's Bags
wondershop,wondershop,Home & Living,Kids Fashion,,,Home & Living
tanaka lemon,tanaka lemon,Health & Wellness,Food & Beverages,Beauty,Beauty,Health & Wellness
hor ka sai,hor ka sai,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
gojo cosplay,gojo cosplay,Hobbies & Books,Men's Wear,Jewellery & Accessories,,Hobbies & Books
valueshop,valueshop,Home & Living,Home & Living,Home & Living,,Home & Living
nard shampoo,nard shampoo,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
2024 calendar with holidays singapore,2024 calendar with holidays singapore,Home & Living,Stationery,Stationery,Stationery,Home & Living
honor phone singapore,honor phone singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
batana oil,batana oil,Health & Wellness,Health,Home & Living,Home & Living,Health & Wellness
olylife,olylife,Home & Living,Health,Health,Home Appliances,Home & Living
sa2.0,sa2.0,Home & Living,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Home & Living
lenovo yoga book 9i,lenovo yoga book 9i,Hobbies & Books,Computers & Accessories,Computers & Accessories,Computers & Accessories,Hobbies & Books
mixsoon bean essence,mixsoon bean essence,Beauty & Personal Care,,Beauty & Personal Care,,Beauty & Personal Care
fujifilm x100vi singapore,fujifilm x100vi singapore,Cameras & Drones,,,,Cameras & Drones
xiaomi water gun,xiaomi water gun,Mobile & Gadgets,Automotive,,,Mobile & Gadgets
father's day gift ideas,father's day gift ideas,Others,,Men's Wear,,Others
samsonite zeltus 69cm spinner exp,samsonite zeltus 69cm spinner exp,Travel & Luggage,"Tickets, Vouchers & Services",Stationery,Stationery,Travel & Luggage
tahu kering,tahu kering,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
sgharem,sgharem,Others,,,,Others
halba campur,halba campur,Food & Beverages,Food & Beverages,,,Food & Beverages
chiboji,chiboji,Health & Wellness,,Health & Wellness,,Health & Wellness
goojodoq,goojodoq,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
7cn basketball,7cn basketball,Sports & Outdoors,,,,Sports & Outdoors
莲花胶囊,莲花胶囊,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
fold 5,fold 5,Mobile & Gadgets,Mobile & Gadgets,Home & Living,Home & Living,Mobile & Gadgets
eb810v,eb810v,Computers & Peripherals,Home & Living,Automobiles,Automobiles,Computers & Peripherals
realme x2 pro singapore,realme x2 pro singapore,Mobile & Gadgets,,,,Mobile & Gadgets
sasa sg,sasa sg,Beauty & Personal Care,Food & Beverages,,,Beauty & Personal Care
korean bags online singapore,korean bags online singapore,Women's Bags,,,,Women's Bags
pvc pipe singapore,pvc pipe singapore,Home & Living,,Home & Living,,Home & Living
pg35vq,pg35vq,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
geox,geox,Women's Shoes,Men's Shoes,Kids Fashion,,Women's Shoes
air cooler,air cooler,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
indoor clothes drying rack in singapore,indoor clothes drying rack in singapore,Home & Living,,,,Home & Living
colourpop singapore,colourpop singapore,Beauty & Personal Care,,Beauty & Personal Care,,Beauty & Personal Care
hair dryer,hair dryer,Home Appliances,Home Appliances,Home Appliances,Beauty & Personal Care,Home Appliances
shoe glue,shoe glue,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
goldheart jewellery,goldheart jewellery,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
e scooter,e scooter,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
cheapest smartphone singapore,cheapest smartphone singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Home Appliances,Mobile & Gadgets
sg pomade,sg pomade,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
sg sweeties,sg sweeties,Others,,,,Others
charity organisations in singapore,charity organisations in singapore,Lifestyle,,,,Lifestyle
wowo shampoo,wowo shampoo,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
pokemon centre singapore,pokemon centre singapore,Hobbies & Books,,Hobbies & Books,,Hobbies & Books
foldable bed,foldable bed,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
shiseido shampoo,shiseido shampoo,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
tumi singapore,tumi singapore,Travel & Luggage,,Men's Bags,,Travel & Luggage
portable hard disk,portable hard disk,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals
mothers day gift,mothers day gift,Lifestyle,Home & Living,Home & Living,,Lifestyle
bedandbasics,bedandbasics,Home & Living,Home & Living,,,Home & Living
thrustmaster singapore,thrustmaster singapore,Computers & Peripherals,,,,Computers & Peripherals
sim unicorn,sim unicorn,Mobile & Gadgets,,,,Mobile & Gadgets
4 ply surgical mask,4 ply surgical mask,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
google home mini singapore,google home mini singapore,Mobile & Gadgets,Home Appliances,,,Mobile & Gadgets
latok,latok,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
tecware phantom,tecware phantom,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals
ps4 pro bundle singapore,ps4 pro bundle singapore,Video Games,,,,Video Games
huawei mate 30 pro,huawei mate 30 pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
xiaomi bluetooth earpiece,xiaomi bluetooth earpiece,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
photo frames singapore,photo frames singapore,Home & Living,Home & Living,Home & Living,,Home & Living
shelf rack,shelf rack,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
meatballs singapore,meatballs singapore,Food & Beverages,,Food & Beverages,,Food & Beverages
paula's choice,paula's choice,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
dumbbells,dumbbells,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
door locks,door locks,Home & Living,Home & Living,Home & Living,,Home & Living
gas mask,gas mask,Home & Living,Home & Living,Home & Living,,Home & Living
sumikko gurashi,sumikko gurashi,"Toys, Kids & Babies",Home & Living,Home & Living,Home & Living,"Toys, Kids & Babies"
isopropyl alcohol singapore,isopropyl alcohol singapore,Home & Living,Beauty & Personal Care,Beauty & Personal Care,,Home & Living
messenger bags singapore,messenger bags singapore,Computers & Peripherals,,,,Computers & Peripherals
skinarma,skinarma,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
best korean drama,best korean drama,Lifestyle,,,,Lifestyle
ahegao,ahegao,Computers & Peripherals,Men's Wear,Women's Apparel,,Computers & Peripherals
4g router,4g router,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
klenco hand sanitizer,klenco hand sanitizer,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
mijia singapore,mijia singapore,Mobile & Gadgets,Cameras & Drones,,,Mobile & Gadgets
otamatone,otamatone,Hobbies & Books,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",Hobbies & Books
playe,playe,Home & Living,"Toys, Kids & Babies",,,Home & Living
mask singapore,mask singapore,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
air cooler review,air cooler review,Home Appliances,,,,Home Appliances
bread maker singapore,bread maker singapore,Home Appliances,Home Appliances,,,Home Appliances
iphone 8,iphone 8,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
biogaia probiotic,biogaia probiotic,"Toys, Kids & Babies",Health & Wellness,Health & Wellness,,"Toys, Kids & Babies"
watsons yoga mat,watsons yoga mat,Sports & Outdoors,,Sports & Outdoors,,Sports & Outdoors
solar power bank,solar power bank,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
sony xperia 5 ii,sony xperia 5 ii,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
christmas gifts,christmas gifts,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
m 2 ssd,m 2 ssd,Computers & Peripherals,,Computers & Peripherals,,Computers & Peripherals
floor mop,floor mop,Home & Living,Home & Living,Home & Living,,Home & Living
soymilk maker,soymilk maker,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
waterfall painting,waterfall painting,Home & Living,Home & Living,Home & Living,,Home & Living
broom stick,broom stick,Home & Living,Home & Living,Home & Living,,Home & Living
fareastflora com,fareastflora com,Home & Living,,Home & Living,,Home & Living
gucci wallet men,gucci wallet men,Men's Bags,Women's Bags,Women's Bags,,Men's Bags
schoolbag singapore,schoolbag singapore,Kids Fashion,Women's Bags,Kids Fashion,,Kids Fashion
t2 tea singapore,t2 tea singapore,Food & Beverages,Food & Beverages,Home & Living,Home & Living,Food & Beverages
popcorn garrett singapore price,popcorn garrett singapore price,Food & Beverages,,,,Food & Beverages
power bank solar,power bank solar,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
bosch vacuum.cleaner,bosch vacuum.cleaner,Home Appliances,,,,Home Appliances
myck department store,myck department store,Beauty & Personal Care,Beauty,Beauty,Beauty,Beauty & Personal Care
kids toys,kids toys,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
among us stickers,among us stickers,Home & Living,Home & Living,Home & Living,,Home & Living
ssamyang,ssamyang,Food & Beverages,,Food & Beverages,,Food & Beverages
webuy sg,webuy sg,Food & Beverages,Mobile & Gadgets,Mobile & Gadgets,Home & Living,Food & Beverages
luxe bags,luxe bags,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
rk84,rk84,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
baby's breath,baby's breath,Home & Living,Home & Living,Home & Living,,Home & Living
watercolor,watercolor,Home & Living,Home & Living,Home & Living,,Home & Living
essentials shorts,essentials shorts,Men's Wear,Men's Wear,Men's Wear,,Men's Wear
mous singapore,mous singapore,Mobile & Gadgets,Computers & Peripherals,,,Mobile & Gadgets
camera with video,camera with video,Cameras & Drones,Home & Living,Cameras & Drones,,Cameras & Drones
singapore bus toy,singapore bus toy,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",,"Toys, Kids & Babies"
chinese drama series 2021,chinese drama series 2021,Lifestyle,,,,Lifestyle
standing clothes hanger,standing clothes hanger,Home & Living,Home & Living,Home & Living,,Home & Living
osim umask,osim umask,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
k grill,k grill,Home Appliances,Automotive,,,Home Appliances
the better toy store singapore,the better toy store singapore,"Toys, Kids & Babies",,,,"Toys, Kids & Babies"
morries multi cooker,morries multi cooker,Home Appliances,Home Appliances,,,Home Appliances
bicycle rack for car,bicycle rack for car,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
transtar vtl singapore,transtar vtl singapore,"Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Dining, Travel & Services"
lee hwa jewelry,lee hwa jewelry,Jewellery & Accessories,Jewellery & Accessories,,,Jewellery & Accessories
transtar bus ticket,transtar bus ticket,"Dining, Travel & Services","Tickets, Vouchers & Services",Mom & Baby,Sports & Outdoors,"Dining, Travel & Services"
chanel shoe,chanel shoe,Women's Shoes,Women's Shoes,Women's Shoes,,Women's Shoes
door viewer singapore,door viewer singapore,Home & Living,,Home & Living,,Home & Living
where to buy mahjong set in singapore,where to buy mahjong set in singapore,Hobbies & Books,,,,Hobbies & Books
fnhon folding bike,fnhon folding bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
sasha fine foods,sasha fine foods,Food & Beverages,,Food & Beverages,,Food & Beverages
induction wok,induction wok,Home & Living,Home & Living,Home & Living,,Home & Living
capsule coffee,capsule coffee,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
peticoat,peticoat,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
the future food,the future food,Health & Wellness,Home & Living,Health & Wellness,,Health & Wellness
skinx,skinx,Beauty & Personal Care,,Beauty & Personal Care,,Beauty & Personal Care
f'diary,f'diary,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
